,# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
108,CoRoT-1 b,Confirmed,0.000982929,0.12,0.12,,,,1.49,0.08,0.08,1.5089556999999998,6.4e-06,6.4e-06,5.4618128,0.0004,0.0004,0.0,,,83.96,0.18,0.18,5.5e-05,2007.0,2019-04-12,,,,,,,,,,2454159.4532,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-1,102.0791667,-3.1022222000000004,13.6,,,,,460.0,100.0,100.0,0.06,0.07,0.07,0.95,0.15,0.15,1.11,0.05,0.05,G0V,,,,6298.0,66.0,66.0,,,
109,CoRoT-10 b,Confirmed,0.0026243250000000003,0.14,0.14,,,,0.97,0.05,0.05,13.2406,0.0002,0.0002,22.685876,0.0021,0.0021,0.53,0.04,0.04,88.55,0.2,0.2,0.000306,2010.0,2014-08-29,218.9,6.4,6.4,2454990.85,0.08,0.08,,,,2454273.3436,0.0012,0.0012,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-10,291.0625,0.7461111,15.22,,,,,345.0,50.0,50.0,0.26,0.07,0.07,0.89,0.05,0.05,0.79,0.05,0.05,K1V,3.0,inf,,5075.0,75.0,75.0,,,
110,CoRoT-11 b,Confirmed,0.002223519,0.27,0.27,,,,1.43,0.033,0.033,2.994325,2.1e-05,2.1e-05,9.35604232,0.00036,0.00036,0.0,,,81.41,0.17,0.17,7.8e-05,2010.0,2014-08-17,,,,,,,,,,2454597.679688,0.0003,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-11,280.6875,5.9377778,12.94,,,,,560.0,30.0,30.0,0.04,0.03,0.03,1.27,0.05,0.05,1.36,0.13,0.13,F6V,2.0,1.0,1.0,6343.0,72.0,72.0,,,
111,CoRoT-12 b,Confirmed,0.0008750931000000001,0.065,0.07,,,,1.44,0.13,0.13,2.828042,1.3000000000000001e-05,1.3000000000000001e-05,8.635685120000002,0.0009199999999999999,0.0009199999999999999,0.07,0.042,0.042,85.48,0.77,0.77,3.5e-05,2010.0,2014-08-16,105.0,27.0,27.0,,,,,,,2454398.62707,0.00036,0.00036,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-12,100.7666667,-1.2963889,15.52,,,,,1150.0,85.0,85.0,0.16,0.1,0.1,1.078,0.07200000000000001,0.07200000000000001,1.1159999999999999,0.092,0.092,G2V,6.3,3.1,3.1,5675.0,80.0,80.0,,,
112,CoRoT-13 b,Confirmed,0.0012482244000000002,0.066,0.066,,,,0.885,0.013999999999999999,0.013999999999999999,4.03519,2.9999999999999997e-05,2.9999999999999997e-05,10.966632,0.0031,0.0031,0.0,,,88.02,0.036000000000000004,0.036000000000000004,3.9e-05,2010.0,2014-08-16,,,,,,,,,,2454790.8091,0.0006,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-13,102.7208333,-5.0863889,15.04,,,,,1310.0,100.0,100.0,0.01,0.07,0.07,1.09,0.02,0.02,1.01,0.03,0.03,G0V,1.64,1.52,1.52,5945.0,90.0,90.0,,,
113,CoRoT-14 b,Confirmed,0.00725268,0.6,0.6,,,,1.09,0.07,0.07,1.51214,0.00013000000000000002,0.00013000000000000002,5.805864000000001,0.002,0.002,0.0,,,79.6,0.8,0.8,2e-05,2010.0,2014-01-24,,,,2454787.6702,,,,,,2454787.6694,0.0053,0.0053,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-14,103.425,-5.536111099999999,16.03,,,,,1340.0,110.0,110.0,0.05,0.15,0.15,1.13,0.09,0.09,1.21,0.08,0.08,F9V,4.2,3.8,3.8,6035.0,100.0,100.0,,,
115,CoRoT-16 b,Confirmed,0.0005105505000000001,0.085,0.085,,,,1.17,0.14,0.14,5.35227,0.0002,0.0002,13.2889776,0.0015,0.0015,0.33,0.1,0.1,85.01,1.2,1.2,7.4e-05,2010.0,2014-01-24,168.41,21.0,21.0,,,,,,,2454923.9138,0.0022,0.0022,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-16,278.525,-6.0025,15.64,,,,,840.0,90.0,90.0,0.19,0.06,0.06,1.0979999999999999,0.078,0.078,1.19,0.14,0.14,G5V,6.73,2.8,2.8,5650.0,100.0,100.0,,,
116,CoRoT-17 b,Confirmed,0.0023189490000000003,0.16,0.16,,,,1.02,0.07,0.07,3.768125,0.00025699999999999996,0.00025699999999999996,9.912975200000002,0.0008,0.0008,0.0,,,88.34,1.54,1.54,5e-05,2010.0,2014-01-24,,,,,,,,,,2454923.3093,0.0036130000000000003,0.0036130000000000003,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-17,278.6958333,-6.612222200000001,15.46,,,,,920.0,50.0,50.0,0.0,0.1,0.1,1.04,0.1,0.1,1.59,0.07,0.07,G2V,10.7,1.0,1.0,5740.0,80.0,80.0,,,
117,CoRoT-18 b,Confirmed,0.003311421,0.38,0.38,,,,1.31,0.18,0.18,1.9000693,2.8e-06,2.8e-06,6.343444,0.0016,0.0016,0.08,inf,,86.5,0.9,0.9,3.4e-05,2011.0,2014-01-24,,,,,,,,,,2455321.72412,0.00018,0.00018,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-18,98.17083334700001,0.031388901000000004,14.99,,,,,870.0,90.0,90.0,-0.1,0.1,0.1,0.95,0.15,0.15,1.0,0.13,0.13,G9V,,,,5440.0,100.0,100.0,,,
118,CoRoT-19 b,Confirmed,0.0010592730000000001,0.06,0.06,,,,1.29,0.05,0.05,3.89713,2e-05,2e-05,11.1386576,0.0008,0.0008,0.047,0.045,0.045,87.61,0.37,0.37,6.500000000000001e-05,2011.0,2014-01-24,86.0,60.0,60.0,,,,,,,2455257.4410200003,0.0006,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-19,97.033333336,0.170555562,14.78,,,,,800.0,200.0,200.0,-0.02,0.1,0.1,1.21,0.06,0.06,1.65,0.04,0.04,F9V,5.0,1.0,1.0,6090.0,70.0,70.0,,,
119,CoRoT-2 b,Confirmed,0.0031587330000000004,0.16,0.16,,,,1.465,0.028999999999999998,0.028999999999999998,1.7429964,1.7e-06,1.7e-06,6.0423992,0.0009,0.0009,0.0,,,87.84,0.1,0.1,9.4e-05,2007.0,2014-01-25,,,,,,,,,,2454706.4041,0.003,0.003,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-2,291.77916669999996,1.3838888999999999,12.57,,,,,300.0,100.0,100.0,-0.04,0.08,0.08,0.97,0.06,0.06,0.902,0.018000000000000002,0.018000000000000002,G7V,,,,5575.0,66.0,66.0,,,
120,CoRoT-20 b,Confirmed,0.004046232,0.23,0.23,,,,0.84,0.04,0.04,9.24285,0.0,0.0,19.395886400000002,0.0021,0.0021,0.562,0.013000000000000001,0.013000000000000001,88.21,0.53,0.53,7.3e-05,2011.0,2014-07-10,56.3,2.4,2.4,,,,,,,2455266.0001,0.0014,0.0014,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-20,97.730434,0.22691999999999998,14.66,,,,,1230.0,120.0,120.0,0.14,0.12,0.12,1.14,0.08,0.08,0.92,,,G2V,0.1,0.04,0.04,5880.0,90.0,90.0,,,
121,CoRoT-21 b,Confirmed,0.0021567179999999997,0.31,0.31,,,,1.3,0.14,0.14,2.72474,0.00014,0.00014,8.966834400000002,0.0011,0.0011,0.0,,,86.8,2.1,2.1,,2011.0,2014-01-24,,,,,,,,,,2454399.0282,0.0009,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-21,101.05245,-0.29913,16.0,,,,,,,,0.0,0.1,0.1,1.29,0.09,0.09,1.945,0.21,0.21,F8IV,4.1,0.5,0.5,6200.0,100.0,100.0,,,
122,CoRoT-22 b,Confirmed,5.7258e-05,0.0214,0.0941,,,,0.4354,0.0348,0.0152,9.755980000000001,0.00011,0.00011,19.782944,0.0014,0.0014,0.077,0.042,0.3,89.749,0.9,0.032,0.000149,2011.0,2018-11-20,210.0,30.0,70.0,,,,,,,2454598.42014,0.0005099999999999999,0.00099,,,,,,,,,,,,,,,,885.0,,,,,,,,,Announced on a professional conference,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-22,280.66666668,6.2250000110000006,11.93,,,,,592.0,42.0,25.0,0.17,0.12,0.07,1.099,0.049,0.049,1.136,0.09,0.038,G0IV,3.3,2.0,2.0,5939.0,120.0,54.0,,,
123,CoRoT-23 b,Confirmed,0.00267204,0.25,0.25,,,,1.08,0.13,0.13,3.6314,0.0001,0.0001,10.2570264,0.0038,0.0038,0.16,0.017,0.017,85.7,1.5,1.5,8e-05,2011.0,2014-01-25,51.8,9.0,9.0,,,,,,,2455308.93732,0.001,0.001,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-23,279.78261499999996,4.3578,15.63,,,,,600.0,50.0,50.0,0.05,0.1,0.1,1.14,0.08,0.08,1.61,0.18,0.18,G0V,7.2,1.0,1.0,5900.0,100.0,100.0,,,
124,CoRoT-24 b,Confirmed,1.7177400000000003e-05,inf,,,,,0.33,0.04,0.04,5.1134,0.0006,0.0006,12.041792,0.002,0.002,0.0,,,86.5,2.0,2.0,9.300000000000001e-05,2011.0,2019-06-13,,,,,,,,,,2454789.611,0.006,0.006,,,,,,,,,,,,,,,,1070.0,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-24,101.92500001399999,-3.719444461,,14.3,,,,600.0,70.0,70.0,0.3,0.25,0.25,0.91,0.09,0.09,0.86,0.09,0.09,K1V,11.0,,,4950.0,150.0,150.0,,,
125,CoRoT-24 c,Confirmed,8.397840000000002e-05,0.035,0.035,,,,0.44,0.04,0.04,11.759,0.0063,0.0063,21.073136,0.003,0.003,0.0,,,89.0,1.0,1.6,0.00016299999999999998,2011.0,2019-06-13,,,,,,,,,,2454795.3803,0.0265,0.0265,,,,,,,,,,,,,,,,850.0,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-24,101.92500001399999,-3.719444461,,14.3,,,,600.0,70.0,70.0,0.3,0.25,0.25,0.91,0.09,0.09,0.86,0.09,0.09,K1V,11.0,,,4950.0,150.0,150.0,,,
126,CoRoT-25 b,Confirmed,0.000257661,0.04,0.04,,,,1.08,0.1,0.3,4.86069,5.9999999999999995e-05,5.9999999999999995e-05,12.4288496,0.0029,0.0029,,,,84.5,0.8,0.3,,2012.0,2014-05-21,,,,,,,,,,2454577.4307,0.0008,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-25,280.6292,6.5139,15.0,,,,,1000.0,85.0,25.0,-0.01,0.13,0.13,1.09,0.05,0.11,1.19,0.03,0.14,G0V,5.2,1.3,1.3,6040.0,90.0,90.0,,,
127,CoRoT-26 b,Confirmed,0.000496236,0.05,0.05,,,,1.26,0.07,0.13,4.20474,5e-05,5e-05,11.310683200000001,0.001,0.001,0.0,,,86.8,1.0,2.2,,2012.0,2014-05-27,,,,,,,,,,2454574.6811,0.0008,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-26,279.75,6.97,15.76,,,,,1670.0,205.0,110.0,0.01,0.13,0.13,1.09,0.06,0.06,1.79,0.09,0.18,G8IV,8.6,1.8,0.9,5590.0,100.0,100.0,,,
128,CoRoT-27 b,Confirmed,0.009915177,0.55,0.55,,,,1.0070000000000001,0.044000000000000004,0.044000000000000004,3.5753199999999996,5.9999999999999995e-05,5.9999999999999995e-05,10.235523200000001,0.0066,0.0066,0.065,0.065,0.0,86.7,0.87,1.2,,2012.0,2014-07-10,,,,,,,,,,2455748.684,0.001,0.001,,,,,,,,,,,,,,,,1500.0,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-27,278.4958,5.5386,15.54,,,,,,,,0.1,0.1,0.1,1.05,0.11,0.11,1.08,0.06,0.18,G2,4.21,2.72,2.72,5900.0,120.0,120.0,,,
130,CoRoT-29 b,Confirmed,0.000811155,0.2,0.2,0.85,0.2,0.2,0.9,0.16,0.16,2.8505700000000003,6e-06,6e-06,8.386248,0.002,0.002,0.08199999999999999,0.081,0.081,87.3,2.7,2.7,,2012.0,2015-04-27,87.0,210.0,49.0,,,,,,,2455753.115,0.001,0.001,,,,,,,0.43,0.44,0.44,,,,125.0,17.0,17.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-29,278.9042,6.4797,15.35,,,,,765.0,50.0,50.0,0.2,0.1,0.1,0.976,0.14,0.14,0.9,0.12,0.12,KOV,4.5,3.5,3.5,5260.0,100.0,100.0,,,
131,CoRoT-3 b,Confirmed,0.020670138,1.0,1.0,,,,1.19,0.1,0.1,4.2567994,5e-06,5e-06,12.256824000000002,0.003,0.003,0.0,,,85.9,0.8,0.8,8.4e-05,2008.0,2018-08-15,,,,,,,,,,2454283.1383,0.0003,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Theoretical,,,CoRoT-3,292.0541667,0.1219444,13.3,,,,,680.0,160.0,160.0,0.14,0.04,0.04,1.41,0.08,0.08,1.44,0.08,0.08,F3V,2.0,0.4,0.4,6558.0,44.0,44.0,,,
132,CoRoT-30 b,Confirmed,0.00276747,0.22,0.22,,,,1.0090000000000001,0.076,0.076,9.06005,0.00023999999999999998,0.00023999999999999998,18.1487008,0.0012,0.0012,0.006999999999999999,0.031,0.031,90.0,0.56,0.56,,2017.0,2019-09-02,178.1,100.0,100.0,,,,,,,2455665.5146,0.0012,0.0012,,,,,,,0.0,0.16,0.16,,,,283.0,20.0,20.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-30,277.600000008,6.835833352000001,15.65,,,,,960.0,40.0,68.0,0.02,0.1,0.1,0.98,0.05,0.03,0.91,0.03,0.09,G3V,3.0,2.4,3.7,5660.0,90.0,10.0,,,
133,CoRoT-31 b,Confirmed,0.000801612,0.34,0.34,,,,1.46,0.3,0.3,4.62941,0.00075,0.00075,12.6008752,0.0034,0.0034,0.02,0.16,0.16,83.2,2.3,2.3,,2017.0,2019-09-02,303.6,107.9,107.9,,,,,,,2455843.9445,0.0044,0.0044,,,,,,,0.87,0.27,0.27,,,,88.0,35.0,35.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-31,94.82083333899999,-4.422222235,15.7,,,,,2190.0,710.0,710.0,0.0,0.1,0.1,1.25,0.22,0.22,2.15,0.6,0.56,G2IV,4.7,2.2,4.7,5370.0,126.0,99.0,,,
134,CoRoT-32 b,Confirmed,0.000143145,0.1,0.1,,,,0.57,0.06,0.06,6.718369999999999,1e-05,1e-05,15.267272,0.001,0.001,,,,89.0,0.5,0.5,,2017.0,2017-09-13,,,,,,,,,,2455901.8109999998,0.002,0.002,,,,,,,,,,,,,,,,938.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-32,100.195833349,9.257500011,14.0,,,,,,,,0.0,0.2,0.2,1.09,0.08,0.08,0.79,0.09,0.09,G0VI,,,,5970.0,100.0,100.0,,,CoRoT-223977153
135,CoRoT-33 b,Confirmed,0.056494560000000006,1.8,1.8,59.0,1.8,1.8,1.1,0.53,0.53,5.819143,1.8e-05,1.8e-05,12.450352800000001,,,0.07,0.0016,0.0016,85.5,0.5,0.5,,2015.0,2015-08-25,179.3,0.87,0.87,,,,,,,2456676.3992,0.0037,0.0037,,,,,,,1.04,0.06,0.06,,,,7061.0,9.0,9.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-33,279.641666678,5.624722241000001,14.7,,,,,,,,0.44,0.1,0.1,0.86,0.004,0.004,0.94,0.008,0.14,G9V,4.6,0.0,5.0,5225.0,80.0,80.0,,,"2MASS 18383391 + 0537287, USNO-A2 0900-13338694"
136,CoRoT-4 b,Confirmed,0.000687096,0.08,0.08,,,,1.19,0.05,0.05,9.20205,0.00037,0.00037,19.35288,0.001,0.001,0.0,0.0,0.0,90.0,0.085,0.085,,2008.0,2013-06-05,,,,,,,,,,2454141.36416,0.0008900000000000001,0.0008900000000000001,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-4,102.1958333,-0.6727778,13.7,,,,,,,,0.05,0.07,0.07,1.1,0.02,0.02,1.15,0.03,0.03,F8V,1.0,0.3,0.3,6190.0,60.0,60.0,,,
137,CoRoT-5 b,Confirmed,0.00044565810000000007,0.024,0.047,,,,1.33,0.047,0.047,4.0378962,1.9e-06,1.9e-06,10.63763304,0.00029,0.00029,0.09,0.04,0.04,85.83,1.38,1.38,0.000124,2008.0,2014-05-22,231.7,48.0,48.0,,,,,,,2454400.19885,0.0002,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-5,101.2791667,0.8152778,14.0,,,,,400.0,0.0,0.0,-0.25,0.06,0.06,1.0,0.02,0.02,1.186,0.04,0.04,F9V,6.9,1.4,1.4,6100.0,65.0,65.0,,,
138,CoRoT-6 b,Confirmed,0.0028247280000000003,0.34,0.34,,,,1.166,0.035,0.035,8.886593,4e-06,4e-06,18.385236000000003,0.0015,0.0015,0.1,inf,,89.07,0.3,0.3,,2009.0,2013-06-05,,,,2454595.6144,0.0002,0.0002,,,,2454702.2556,0.0003,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-6,281.075,6.6633333,13.9,,,,,,,,-0.2,0.1,0.1,1.055,0.055,0.055,1.025,0.026000000000000002,0.026000000000000002,F9V,,,,6090.0,70.0,70.0,,,
